iter	Passed	Remaining
0	164	164081
1	189	94506
2	211	70416
3	236	58798
4	260	51843
5	277	45955
6	293	41569
7	308	38292
8	329	36315
9	360	35698
10	379	34101
11	396	32629
12	423	32123
13	447	31544
14	470	30882
15	486	29895
16	501	29027
17	518	28299
18	534	27600
19	551	27001
20	572	26666
21	592	26342
22	608	25865
23	625	25457
24	646	25194
25	668	25059
26	686	24739
27	710	24649
28	729	24418
29	747	24170
30	766	23950
31	783	23707
32	802	23512
33	820	23325
34	839	23156
35	858	22984
36	874	22760
37	898	22739
38	920	22675
39	936	22473
40	952	22274
41	967	22077
42	983	21889
43	999	21710
44	1014	21528
45	1030	21365
46	1045	21198
47	1061	21048
48	1076	20900
49	1092	20755
50	1108	20621
51	1128	20570
52	1149	20547
53	1166	20426
54	1181	20306
55	1198	20205
56	1214	20087
57	1229	19973
58	1247	19896
59	1263	19789
60	1279	19690
61	1294	19589
62	1310	19488
63	1326	19398
64	1347	19385
65	1380	19537
66	1438	20025
67	1479	20283
68	1525	20577
69	1566	20813
70	1589	20791
71	1610	20759
72	1627	20663
73	1642	20557
74	1658	20456
75	1674	20358
76	1690	20263
77	1703	20134
78	1719	20045
79	1735	19957
80	1751	19870
81	1767	19784
82	1787	19743
83	1809	19734
84	1826	19657
85	1842	19578
86	1859	19512
87	1878	19466
88	1900	19449
89	1915	19369
90	1931	19292
91	1946	19215
92	1962	19136
93	1980	19091
94	2003	19082
95	2020	19024
96	2035	18950
97	2051	18881
98	2066	18811
99	2082	18742
100	2102	18712
101	2118	18649
102	2133	18578
103	2148	18510
104	2164	18451
105	2181	18402
106	2202	18381
107	2224	18376
108	2241	18324
109	2257	18261
110	2274	18212
111	2289	18150
112	2304	18089
113	2319	18028
114	2335	17972
115	2350	17915
116	2366	17857
117	2381	17801
118	2397	17746
119	2412	17691
120	2433	17678
121	2456	17678
122	2481	17691
123	2500	17661
124	2515	17610
125	2532	17566
126	2548	17517
127	2564	17469
128	2580	17422
129	2595	17371
130	2611	17322
131	2626	17271
132	2645	17244
133	2666	17231
134	2682	17187
135	2698	17144
136	2714	17099
137	2730	17055
138	2746	17012
139	2762	16970
140	2779	16931
141	2795	16889
142	2811	16852
143	2827	16808
144	2848	16797
145	2881	16856
146	2905	16862
147	2932	16879
148	2954	16871
149	2976	16868
150	2996	16845
151	3016	16826
152	3035	16806
153	3055	16783
154	3074	16763
155	3095	16745
156	3119	16751
157	3145	16764
158	3170	16770
159	3192	16760
160	3218	16773
161	3238	16753
162	3257	16728
163	3277	16707
164	3298	16691
165	3321	16690
166	3341	16669
167	3362	16653
168	3382	16633
169	3401	16609
170	3420	16583
171	3441	16567
172	3461	16546
173	3482	16531
174	3503	16516
175	3530	16531
176	3558	16543
177	3582	16545
178	3607	16544
179	3631	16541
180	3651	16522
181	3673	16512
182	3693	16491
183	3713	16466
184	3734	16452
185	3760	16456
186	3779	16432
187	3799	16411
188	3821	16399
189	3841	16374
190	3864	16367
191	3894	16391
192	3916	16378
193	3939	16365
194	3963	16362
195	3983	16342
196	4003	16317
197	4022	16294
198	4040	16262
199	4057	16231
200	4078	16212
201	4098	16189
202	4117	16166
203	4138	16149
204	4163	16144
205	4187	16139
206	4209	16126
207	4228	16102
208	4249	16084
209	4269	16061
210	4289	16040
211	4309	16017
212	4335	16019
213	4354	15995
214	4378	15985
215	4404	15988
216	4424	15963
217	4444	15944
218	4466	15928
219	4491	15925
220	4518	15927
221	4542	15920
222	4561	15895
223	4585	15885
224	4624	15929
225	4648	15918
226	4674	15918
227	4700	15916
228	4722	15900
229	4744	15882
230	4764	15861
231	4783	15835
232	4803	15812
233	4822	15785
234	4842	15765
235	4903	15875
236	4955	15954
237	5003	16018
238	5026	16004
239	5063	16034
240	5086	16019
241	5112	16013
242	5131	15986
243	5153	15966
244	5175	15948
245	5197	15931
246	5218	15908
247	5237	15882
248	5258	15861
249	5282	15848
250	5311	15849
251	5334	15833
252	5354	15810
253	5375	15787
254	5395	15764
255	5416	15740
256	5438	15722
257	5460	15705
258	5482	15686
259	5506	15671
260	5529	15657
261	5553	15642
262	5573	15618
263	5593	15594
264	5612	15566
265	5631	15539
266	5650	15513
267	5671	15490
268	5692	15468
269	5713	15447
270	5738	15436
271	5761	15420
272	5789	15417
273	5809	15393
274	5830	15372
275	5848	15342
276	5869	15320
277	5889	15296
278	5914	15284
279	5938	15270
280	5960	15250
281	5979	15224
282	6000	15202
283	6020	15178
284	6040	15154
285	6059	15127
286	6079	15104
287	6098	15077
288	6118	15051
289	6137	15026
290	6160	15010
291	6188	15004
292	6209	14982
293	6228	14956
294	6247	14931
295	6266	14905
296	6287	14882
297	6305	14853
298	6325	14829
299	6345	14805
300	6363	14778
301	6389	14767
302	6425	14781
303	6448	14763
304	6467	14737
305	6488	14714
306	6508	14691
307	6527	14665
308	6546	14640
309	6567	14618
310	6586	14592
311	6607	14569
312	6630	14552
313	6646	14520
314	6662	14487
315	6677	14453
316	6693	14420
317	6708	14388
318	6726	14359
319	6741	14325
320	6758	14295
321	6773	14262
322	6788	14229
323	6803	14195
324	6822	14169
325	6842	14147
326	6861	14121
327	6876	14089
328	6892	14057
329	6908	14025
330	6924	13994
331	6939	13963
332	6955	13932
333	6971	13901
334	6987	13869
335	7002	13838
336	7017	13806
337	7033	13775
338	7053	13753
339	7073	13731
340	7090	13702
341	7106	13672
342	7121	13641
343	7137	13611
344	7152	13580
345	7171	13554
346	7187	13526
347	7209	13507
348	7234	13494
349	7260	13484
350	7279	13460
351	7299	13437
352	7315	13407
353	7330	13377
354	7345	13345
355	7360	13315
356	7376	13285
357	7391	13255
358	7406	13225
359	7422	13195
360	7438	13166
361	7453	13136
362	7471	13110
363	7490	13088
364	7511	13068
365	7526	13038
366	7542	13009
367	7557	12979
368	7573	12950
369	7589	12922
370	7604	12893
371	7619	12863
372	7636	12836
373	7652	12808
374	7667	12779
375	7686	12757
376	7706	12734
377	7724	12710
378	7739	12681
379	7755	12654
380	7771	12625
381	7787	12599
382	7803	12571
383	7819	12543
384	7834	12515
385	7850	12487
386	7867	12462
387	7883	12434
388	7908	12421
389	7928	12400
390	7948	12379
391	7964	12352
392	7979	12324
393	7996	12299
394	8012	12272
395	8028	12245
396	8044	12218
397	8060	12191
398	8076	12164
399	8092	12138
400	8107	12111
401	8123	12084
402	8143	12064
403	8167	12049
404	8183	12023
405	8198	11995
406	8214	11968
407	8230	11941
408	8246	11915
409	8261	11888
410	8276	11861
411	8292	11834
412	8307	11808
413	8323	11781
414	8342	11759
415	8360	11737
416	8378	11714
417	8395	11689
418	8411	11663
419	8427	11637
420	8442	11611
421	8459	11586
422	8475	11560
423	8490	11534
424	8506	11508
425	8522	11483
426	8538	11458
427	8557	11436
428	8578	11417
429	8599	11399
430	8615	11374
431	8631	11348
432	8647	11323
433	8663	11298
434	8678	11271
435	8693	11245
436	8708	11220
437	8724	11194
438	8740	11170
439	8756	11144
440	8774	11122
441	8795	11103
442	8812	11080
443	8830	11058
444	8846	11033
445	8862	11008
446	8877	10983
447	8893	10958
448	8909	10932
449	8924	10907
450	8939	10881
451	8954	10856
452	8971	10832
453	8987	10808
454	9007	10788
455	9025	10767
456	9044	10747
457	9061	10723
458	9077	10699
459	9093	10674
460	9108	10650
461	9124	10626
462	9147	10609
463	9163	10585
464	9179	10561
465	9196	10538
466	9215	10518
467	9237	10500
468	9252	10475
469	9268	10451
470	9283	10426
471	9299	10402
472	9314	10378
473	9330	10354
474	9345	10329
475	9361	10305
476	9376	10281
477	9392	10256
478	9407	10232
479	9426	10212
480	9448	10194
481	9499	10209
482	9555	10228
483	9601	10236
484	9648	10245
485	9666	10223
486	9685	10202
487	9708	10185
488	9728	10165
489	9744	10141
490	9760	10118
491	9776	10094
492	9792	10070
493	9808	10046
494	9824	10022
